Month,TotOccRate,HotelOccRate,MotelOccRate,BPOccRate,HPOccRate,TotnotHPOccRate,TotAveStay,HotelAveStay,MotelAveStay,BPAveStay,HPAveStay,TotnotHPAveStay
2002M09,31.7,51.4,50.8,40.1,8.3,48.3,1.9,1.9,1.8,2.1,1.9,1.9
2002M10,35,58.9,53.9,42.1,9.9,52.9,1.9,1.9,1.8,2,1.9,1.9
2002M11,39.9,67.8,59.9,53.8,11.2,61.5,1.8,1.8,1.8,2,1.7,1.8
2002M12,40.3,54.9,53.8,56.8,21.2,55,1.9,1.8,1.8,1.9,2.3,1.8
2003M01,48.8,58.9,64.1,62.4,32.2,61.6,2.1,1.8,1.9,1.9,2.9,1.8
2003M02,48.8,72.1,71.2,64.2,21.3,69.8,1.8,1.8,1.8,1.9,1.9,1.8
2003M03,44,66.1,65.9,60.3,16.6,64.5,1.8,1.8,1.8,1.9,1.8,1.8
2003M04,39.6,54.1,59.4,56.4,15.7,56.5,1.9,1.9,1.8,2,1.9,1.9
2003M05,29.4,44.4,45.3,41.3,8.2,43.9,1.8,1.8,1.8,2,1.8,1.8
2003M06,26.6,41.4,41.6,37.1,6.3,40.4,1.9,1.9,1.8,2.1,1.9,1.9
2003M07,31.3,49.1,50,41.5,7.3,47.5,1.9,1.9,1.9,2,1.9,1.9
2003M08,29.9,49.6,46.8,37,6.7,45.4,2,1.9,1.9,2.1,1.9,2
2003M09,32.8,52.7,52.5,40.2,8.3,49.4,1.9,1.9,1.8,2.1,1.8,1.9
2003M10,35.2,56.1,53.8,44.1,10.2,52.2,1.8,1.8,1.8,2,1.8,1.8
2003M11,40,67.6,59.6,53.8,11.5,61.2,1.8,1.8,1.7,1.9,1.7,1.8
2003M12,42.1,56.6,56.6,57.1,22.6,56.7,1.9,1.8,1.8,1.9,2.1,1.8
2004M01,50.4,61,66.3,62.1,33.6,63.1,2.2,1.8,1.9,2,3,1.9
2004M02,48.9,71.6,71.7,63.6,20.6,69.5,1.8,1.7,1.8,1.9,1.9,1.8
2004M03,45.3,69.4,68.7,58.7,16.5,66.2,1.8,1.8,1.8,1.9,1.8,1.8
2004M04,39.5,58.5,60.3,54,14,57.9,1.8,1.8,1.7,1.9,2,1.8
2004M05,30.1,49.9,45,38.3,7.7,45,1.8,1.8,1.7,2,1.9,1.8
2004M06,29,46.5,45,37.3,7.2,43.5,1.9,1.8,1.8,2,1.9,1.8
2004M07,32.5,53.1,51,40.5,7.8,48.9,1.9,2,1.8,2,1.8,1.9
2004M08,30.8,52.3,46.9,36.6,7.1,46.1,1.9,1.9,1.9,2.1,1.9,1.9
2004M09,32.9,54.9,52.7,38.3,8.9,49.6,1.9,1.9,1.8,2,1.8,1.9
2004M10,34.2,58.8,52.8,38.8,10,51.1,1.8,1.8,1.8,1.9,1.8,1.8
2004M11,41,68.1,61.1,49.2,13,60.3,1.7,1.7,1.7,1.8,1.7,1.7
2004M12,40.8,55.8,55.8,50.9,21.6,54.4,1.9,1.7,1.8,1.8,2.2,1.8
2005M01,50.9,59.6,67.2,61,34.3,62.5,2.1,1.8,1.8,1.9,2.9,1.8
2005M02,49.7,73.9,73.4,61.3,20.4,70,1.8,1.7,1.8,1.8,1.9,1.7
2005M03,46.4,66.7,69.4,56.8,19.5,64.7,1.8,1.8,1.8,1.8,1.9,1.8
2005M04,38.1,57.4,58.6,47,13.3,54.7,1.8,1.7,1.8,1.9,1.8,1.8
2005M05,29,47.2,43.4,35.3,7.3,42.5,1.8,1.8,1.8,1.9,1.8,1.8
2005M06,29.6,46.5,45.4,36.6,7.3,43.3,1.9,1.9,1.8,1.9,1.9,1.8
2005M07,31.6,50.1,49.6,36.5,7.8,46,1.9,2,1.9,2,1.9,1.9
2005M08,29.7,48.4,46,33.3,7,43.2,1.9,1.9,1.9,2.1,1.9,1.9
2005M09,32.1,52.2,50.1,33.1,9.2,45.9,1.9,1.9,1.9,2,1.8,1.9
2005M10,33.3,53.9,52.8,35,10.6,47.9,1.8,1.7,1.8,1.9,1.8,1.8
2005M11,39.1,64.1,57.9,44.6,12.6,56.3,1.7,1.7,1.7,1.9,1.7,1.8
2005M12,38.8,51.5,52.4,49.7,19.9,51.3,1.9,1.7,1.8,1.9,2.2,1.8
2006M01,48.8,55.4,64.6,57.4,33.3,59,2.1,1.8,1.9,1.8,3,1.8
2006M02,48.7,71.2,71.3,59.1,20.2,67.6,1.8,1.7,1.8,1.8,1.9,1.8
2006M03,44.1,64.8,67,54.9,16,62.5,1.8,1.7,1.8,1.9,1.7,1.8
2006M04,37.7,53.5,56.8,47.8,14.5,52.9,1.8,1.7,1.8,1.9,1.9,1.8
2006M05,29.2,47.1,43.4,33.5,7.9,41.9,1.8,1.8,1.8,2.1,1.8,1.8
2006M06,27.6,44.5,42.7,32,6.6,40.2,1.9,1.8,1.8,2,1.9,1.9
2006M07,30.7,47.8,47.6,35.9,7.8,44.2,1.9,2,1.9,2,1.9,1.9
2006M08,30.7,50.1,46.6,34.5,7.5,44.4,2,1.9,2,2.1,1.9,2
2006M09,32.9,52.3,50.3,34.9,9.7,46.5,1.9,1.9,1.8,2,1.8,1.9
2006M10,34.8,55.5,52.7,37.5,11.4,49.3,1.8,1.8,1.8,1.9,1.7,1.8
2006M11,41,65.7,58.8,47.6,13.3,58.1,1.8,1.7,1.8,1.9,1.7,1.8
2006M12,40.4,52.8,53.3,49.7,21.8,52,1.9,1.8,1.8,1.8,2.2,1.8
2007M01,51.1,58.8,64.9,58.9,35.7,60.8,2.1,1.9,1.9,1.8,2.9,1.9
2007M02,51.6,72.2,72.1,60.9,23.8,68.8,1.8,1.8,1.8,1.9,1.9,1.8
2007M03,46.9,67.3,67.9,57.2,18.2,64.5,1.8,1.8,1.8,1.9,1.8,1.8
2007M04,38.5,53,55.1,49.1,15.6,52.5,1.8,1.8,1.8,1.9,1.9,1.8
2007M05,30.8,47.4,44.2,35.5,9.3,42.8,1.8,1.8,1.8,2,1.8,1.8
2007M06,28.8,44,42.2,35.2,7.4,40.9,1.9,1.8,1.8,2,1.9,1.9
2007M07,31.7,48.2,46.4,38.6,8.1,44.9,2,2,2,2.2,2,2
2007M08,31.4,49.2,46.9,35.5,8,44.5,2,1.9,2,2.1,1.9,2
2007M09,33.4,50.3,49.5,37.3,10.6,46.2,1.9,1.9,1.9,2.1,1.8,1.9
2007M10,33.7,53.3,51.1,35.7,11,47.4,1.8,1.8,1.8,2,1.8,1.9
2007M11,40.5,65.1,57.6,47,13.1,57.3,1.8,1.8,1.8,2,1.7,1.8
2007M12,40.1,50.7,51.6,48.4,23.5,50.3,1.9,1.8,1.8,1.9,2.1,1.8
2008M01,50.8,59.2,62.6,56.4,36.7,59.5,2.1,1.8,1.9,1.9,2.6,1.9
2008M02,50.8,72,69.8,58.1,23.6,67.1,1.8,1.8,1.8,1.9,1.9,1.8
2008M03,47.6,66.1,65.6,57.5,21.4,63.4,1.8,1.8,1.8,1.9,1.9,1.8
2008M04,38.3,56.9,54.6,46.8,13.3,53.1,1.8,1.8,1.8,2,1.7,1.8
2008M05,30.8,48.8,42.7,37,8.4,43.3,1.8,1.8,1.8,2,1.8,1.8
2008M06,27.5,42.9,38.2,35.2,6.6,39.1,1.9,1.8,1.8,2.1,2,1.9
2008M07,31.3,49.3,44.3,37.4,7.8,44.2,2,2,2,2.2,2,2
2008M08,30.5,50.8,42.2,33.8,7.6,43,2,1.9,1.9,2.2,1.9,2
2008M09,32.1,51.2,45.8,33.3,10.3,44.2,1.9,1.9,1.9,2.2,1.9,2
2008M10,34.4,54.7,49.7,36.2,12.2,47.6,1.9,1.9,1.8,2.1,1.8,1.9
2008M11,38.2,62,52,43.1,13,53,1.8,1.9,1.8,2,1.6,1.9
2008M12,38.4,50.4,47.7,46.2,21.8,48.3,1.9,1.8,1.8,1.9,2.2,1.8
2009M01,48.3,54.5,57.9,54.7,35.9,55.7,2.2,1.9,1.9,1.9,2.9,1.9
2009M02,48.2,67.8,63.6,57.1,23.2,63.2,1.8,1.8,1.8,1.9,1.9,1.8
2009M03,43.6,63.7,59,54.6,17,59.4,1.8,1.9,1.8,2,1.7,1.9
2009M04,37.8,53,50.1,48.1,16.1,50.6,1.9,1.8,1.8,1.9,1.9,1.9
2009M05,30,46.3,40.4,37.3,9,41.7,1.8,1.9,1.8,2,1.8,1.9
2009M06,25.4,41.4,34.7,31.1,5.8,36.1,1.9,1.9,1.8,2.1,1.9,1.9
2009M07,30.4,50.1,42,35.8,7.1,43.1,2,2.1,1.9,2.1,1.9,2
2009M08,29.1,48.9,40.6,31.8,7.3,41.1,2,2,1.9,2.1,1.9,2
2009M09,31.6,50.7,43.8,33.5,10.1,43.3,1.9,1.9,1.9,2.1,1.8,1.9
2009M10,33.4,54,46.9,36.1,11.4,46.2,1.9,1.9,1.8,2,1.8,1.9
2009M11,37.8,60.2,50.2,44.5,13.2,52.1,1.8,1.8,1.7,1.9,1.7,1.8
2009M12,39.6,52.6,47.1,48.1,23.1,49.4,1.9,1.9,1.8,1.9,2.2,1.8
2010M01,49.5,57.4,57.5,56.3,36.6,57.1,2.2,1.9,1.9,1.8,3,1.9
2010M02,48.5,70,63.9,57.1,22.3,64.1,1.8,1.8,1.8,1.9,1.9,1.8
2010M03,43.7,65.5,59.4,52.5,17,59.5,1.8,1.8,1.8,2,1.8,1.8
2010M04,37.3,55.4,49.9,44.2,15.4,50.2,1.9,1.9,1.8,1.9,2,1.9
2010M05,28.1,46.9,37.5,32.6,7.6,39.5,1.9,1.9,1.8,2,1.9,1.9
2010M06,26.9,44.3,36.7,31.6,6.5,38,1.9,1.9,1.8,2.2,2.1,1.9
2010M07,30.5,50.9,41.4,34.9,7.3,43,2,2,1.9,2.2,2,2
2010M08,29.1,50.8,39.5,30.4,6.9,41,2,2,2,2.2,2,2
2010M09,31.6,53.5,44.3,31.4,9.2,43.9,1.9,1.9,1.9,2.1,1.9,1.9
2010M10,33.4,56.1,45.9,34.8,11.4,46.4,1.9,1.9,1.8,2.1,1.8,1.9
2010M11,38.9,64.2,50.8,45.3,13,54,1.8,1.8,1.8,1.9,1.7,1.8
2010M12,39,54.1,46.3,46.5,21.6,49.2,1.9,1.9,1.8,1.9,2.2,1.9
2011M01,48.9,59.4,56.7,55.2,35.2,57.2,2.1,2,1.9,1.9,2.8,1.9
2011M02,47.8,69.4,64.4,55.8,21.5,63.6,1.9,1.8,1.8,1.9,1.9,1.8
2011M03,42.6,63.4,60.5,51.3,17.1,58.7,1.9,1.8,1.9,2,1.9,1.9
2011M04,37.7,56.2,52.9,46.7,14.9,52.2,1.9,1.9,1.8,2,1.9,1.9
2011M05,29.6,49.9,41.4,32.7,8.8,41.8,2,1.9,1.9,2.1,2.2,1.9
2011M06,27.6,46.4,40.5,30.5,7.6,39.7,2,2,1.9,2.2,2.3,2
2011M07,31.8,53.7,45.6,36,8.3,45.8,2,2,2,2.2,2.3,2
2011M08,32.1,56,46.9,34.3,7.8,46.5,2,2,2,2.3,2.2,2
2011M09,32.1,52.2,46.6,36.7,10.4,45.7,1.9,2,1.9,1.9,1.8,2
2011M10,34,54.1,49.4,38.5,11.7,47.9,2,2,1.9,2,1.9,2
2011M11,39.1,62.9,56.1,43.9,13.6,54.9,1.8,1.8,1.8,2,1.8,1.8
2011M12,39.6,54.6,49.7,45.8,22.4,50.3,2,1.9,1.8,2,2.2,1.9
2012M01,48,57.3,58.9,53.2,34.2,56.6,2.1,1.9,1.9,1.9,2.7,1.9
2012M02,46.5,66.1,63.8,55.4,21.6,62.1,1.9,1.8,1.8,1.8,2,1.8
2012M03,42.2,64.8,59.6,50.5,15.7,58.7,1.8,1.8,1.8,1.9,1.8,1.9
2012M04,36.3,54.4,50.5,44,14.5,49.9,1.9,1.9,1.8,1.9,2,1.9
2012M05,29,49.2,41.6,30.6,8.4,41,1.9,1.9,1.9,2.1,2,1.9
2012M06,27.7,48,40.6,27.9,7.3,39.4,2,2,1.9,2.2,2.1,2
2012M07,29.9,50.8,44.1,30.4,7.8,42.5,2,2,2,2.2,2.1,2
2012M08,29.3,53.5,42.2,27.5,7.2,41.9,2,2,2,2.3,2.1,2
2012M09,31.2,52.3,45.7,30.3,9.6,43.5,2,1.9,2,2.2,1.9,2
